	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Ikzf3	Etv6	Kdm6b	Jmjd6	Id2	Ski	Lef1	Atf6	Trib3	Sirt2	Prkrir	Satb1	Nfatc2	Crem	Ddit3	Aes	Inhba	Zfp36l2	Egr2	Bcl11b
2010321m09rik	0	0	0	0	0	0	0	0	-0.910417081791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.958894843371	0	0	-0.915954401015
2210009g21rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.948376034315	0
2210010c17rik	0	0.914309330188	0	0	0.915011042279	0.972159680398	0	0	0.926389110117	0	-0.962366155234	-0.988726101958	0	0	0	0	0	0	-0.952062336791	0	0	-0.979885268424	-0.98777175338	-0.974987677367	-0.973949430013	-0.985758182753	-0.986712531331	-0.992569714639
2210012g02rik	0	0	0	0	0	0	-0.979612597401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210013o21rik	0	0	0	0	0	0	0	0	0	0	0	0	0.961633999027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210016f16rik	0	0	0	0	0	0	0	0.902208025348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210016l21rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897308955654	0	0	0	0	0	0	0	0
2210018m11rik	0	0.91083951457	0	0.96806994735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.900873596006	-0.942828227743	-0.95875850786
2210403k04rik	0	0.868375170585	0	0.909776183978	0	0	0	0.95822445316	0	0	0.981686605909	0.959145719341	0.925825157455	0	0	0	0	0	0	0	0.850289940548	0	0	0	0	0	0	0
2210411k11rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.972098413264	0
2300009a05rik	0	0	0	0	0	0	0	0	0	0	0	-0.88546768324	0	0	0	0	0	0	0	0	0.940892595	0	-0.925749583128	0	0	0	0	0
2310003c23rik	0	0	0	0	0	0	0	0	-0.894607406164	0	0	0	0	0	0	0	0	0	0	0	0.97757534795	0	0	0	0	0	0	0
2310003f16rik	0	0	0	0	0	0	0	0	-0.964337776473	0	0	0	0	0.915725669317	0	0.93526167834	0	0.919135215185	0	0	0.93620016445	0	0	0	0	0	0	0
2310003h01rik	0	0	0	0	0	0	0	0	0	0	0.980679240085	0.973739608849	0	-0.935775486875	0.988544442483	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003l22rik	0	0	0	0	0	0	-0.908314368714	0	-0.874938386836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.912781978543	0	0	0
2310004i24rik	0.988251703697	0.991463220385	0	0.957699245337	-0.978023764328	0	0	0	0	0	0	0	0.970790696073	0.938748713887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310004n24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.928102493015	0.885750078566	0	0	0.850083301405	0	0	0	0	0	0	0	0
2310007l24rik	0.986986038943	0.964991885109	0.906874626005	0.989792887308	0.999289677944	0.994700566966	0	0	0	0	0	0	-0.888446089793	-0.920159827169	0.906568972272	0	0	0	0	0	0	0	0	0	0	0	0	0
2310008h04rik	0.875125382605	0.949171075686	0	0.953011119769	0	0	0	0.970295623125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
