Hybridization REF_at	Iron01	Iron02	Iron03	Iron04	Iron05	Iron06	Iron07	Iron08	Iron09	Iron10	Iron11	Iron12	Iron13	Iron14	Iron15	Iron16	Iron17	Iron18	Iron19	Iron20	Iron21	Iron22	Iron23	Iron24
Composite Element REF_at	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2
GBAA1526_at	11.60920401	11.70711123	11.46159166	11.50335897	11.5577029	11.6513025	11.52937632	11.43914561	11.63435751	11.67471558	11.28048911	11.11510449	11.57177478	11.50222335	11.24298173	11.31756081	11.04318428	11.25108427	10.86181808	11.62203419	11.50855854	11.69021321	11.43725281	11.57043815
GBAA1527_at	4.973374596	4.88110572	5.12654786	4.957140208	4.959353181	4.949513205	5.043345119	5.077514614	4.958730357	4.964690858	4.983581728	4.961994937	4.920875111	4.922429274	4.975508722	4.898384193	5.05622783	5.058300676	5.16274719	5.421845173	5.116423087	5.020212908	5.150688768	5.242397808
GBAA1528_at	10.84319128	10.84685881	11.27639959	11.47722738	10.82738563	11.0260426	11.18085204	11.31313873	10.99413082	10.71307444	11.23323382	11.69129462	10.87726241	11.13358072	11.32304038	11.13894951	11.83887528	10.83703366	11.47843519	11.54421492	11.2935227	10.7481692	12.10475299	11.92233558
GBAA1529_at	11.18793957	11.16058476	11.55448382	11.70803444	11.23415127	11.31615449	11.50972782	11.62023792	11.35966267	10.91050623	11.28079855	11.75406541	11.13567442	11.36390048	11.49751853	11.43400072	12.10109517	11.13298355	11.73256792	11.73109725	11.52443123	10.91867201	12.10246233	12.20077168
GBAA1530_at	7.696152364	7.775046561	8.028172834	7.999054551	7.987308417	7.965692405	7.944929195	7.990159349	7.803541779	7.834155691	8.003016925	8.108667006	7.854466542	7.802395363	7.980474669	7.995106375	8.225804661	7.837086538	8.221575785	8.143676033	7.829556968	7.737238982	8.530464962	8.457445898
GBAA1531_at	14.2653333	14.21213586	14.1324292	14.13251834	14.24181177	14.18965957	14.08797887	14.12981272	14.2387991	14.16060598	14.13380233	14.17842366	14.20754887	14.18954997	14.16000232	14.15648541	14.21414395	14.0508751	14.37998352	14.39281235	13.99424902	13.92693031	14.08532196	14.21435838
GBAA1532_at	12.89214263	12.78603832	12.71509879	12.73470203	12.8518183	12.80843639	12.76541032	12.69898175	12.52977762	12.53006424	12.42226155	12.42099774	12.6893434	12.69594551	12.67665629	12.6968423	12.51766968	12.48307619	12.77179614	12.65093219	12.55229789	12.69600299	12.28956811	12.23290003
GBAA1533_at	12.59577588	12.54090559	12.50684481	12.49181497	12.53534292	12.53876563	12.51541815	12.53093157	12.4955345	12.49396185	12.56526995	12.43657067	12.58090941	12.54891307	12.52935672	12.59109992	12.35878019	12.4584791	12.41366069	12.43677556	12.39676962	12.36454377	11.75534248	11.84777358
GBAA1534_at	12.49699971	12.51022601	12.50690497	12.42028348	12.52110308	12.48856973	12.46595895	12.47787237	12.39116305	12.43987888	12.58638063	12.3799262	12.54909703	12.50185	12.47331691	12.53195553	12.18061636	12.31294235	12.05047227	12.11038085	12.3145792	12.23651162	11.77571643	11.64937829
GBAA1535_at	12.0181771	11.9912055	11.90686024	11.9188907	12.01436421	12.01190144	11.93469824	11.90327768	11.73748391	11.87435223	11.98304785	11.84430167	12.00577929	11.97172566	11.93222477	11.98403827	11.42911665	11.61362704	11.59460217	11.47919743	11.74513947	11.71347784	11.45939401	11.15020897
GBAA1536_at	13.94072473	13.96131253	13.88042908	13.88364738	13.90142733	13.96965982	13.90154719	13.74978316	13.91321165	13.97489693	13.7725412	13.71059324	13.99057183	13.97118786	13.75557506	13.78255378	14.2898936	14.1539255	14.09810743	14.12454966	14.01046612	13.76005063	14.10446324	14.11902203
GBAA1537_at	11.3070631	11.37910072	11.25906726	11.29826808	11.32324994	11.3437536	11.24851135	11.09458941	11.24793596	11.18503456	11.13279785	11.13679884	11.34145192	11.20852425	11.10252166	11.13802503	10.82815904	10.77236555	10.75487128	10.37256069	10.62849985	10.63552885	10.07355297	10.11224113
